  0.0000E+00    1.4299491E+00    2.5058706E+00    1.2107463E-02    1.2107958E-02    5.1084079E-02
  1.0000E+00    1.4299509E+00    2.5058724E+00              NaN              NaN    5.1084079E-02
  2.0000E+00    1.4299564E+00    2.5058780E+00              NaN              NaN    5.1084079E-02
  3.0000E+00    1.4299656E+00    2.5058871E+00              NaN              NaN    5.1084079E-02
  4.0000E+00    1.4299784E+00    2.5059000E+00              NaN              NaN    5.1084079E-02
  5.0000E+00    1.4299948E+00    2.5059165E+00              NaN              NaN    5.1084079E-02
  6.0000E+00    1.4300149E+00    2.5059366E+00              NaN              NaN    5.1084079E-02
  7.0000E+00    1.4300386E+00    2.5059604E+00              NaN              NaN    5.1084079E-02
  8.0000E+00    1.4300659E+00    2.5059879E+00              NaN              NaN    5.1084079E-02
  9.0000E+00    1.4300969E+00    2.5060190E+00              NaN              NaN    5.1084079E-02
  1.0000E+01    1.4301315E+00    2.5060537E+00              NaN              NaN    5.1084079E-02
  1.1000E+01    1.4301697E+00    2.5060920E+00              NaN              NaN    5.1084079E-02
  1.2000E+01    1.4302115E+00    2.5061339E+00              NaN              NaN    5.1084079E-02
  1.3000E+01    1.4302568E+00    2.5061794E+00              NaN              NaN    5.1084079E-02
  1.4000E+01    1.4303058E+00    2.5062285E+00              NaN              NaN    5.1084079E-02
  1.5000E+01    1.4303582E+00    2.5062812E+00              NaN              NaN    5.1084079E-02
  1.6000E+01    1.4304142E+00    2.5063374E+00              NaN              NaN    5.1084079E-02
  1.7000E+01    1.4304738E+00    2.5063971E+00              NaN              NaN    5.1084079E-02
  1.8000E+01    1.4305368E+00    2.5064604E+00              NaN              NaN    5.1084079E-02
  1.9000E+01    1.4306033E+00    2.5065271E+00              NaN              NaN    5.1084079E-02
  2.0000E+01    1.4306733E+00    2.5065973E+00              NaN              NaN    5.1084079E-02
  2.1000E+01    1.4307467E+00    2.5066710E+00              NaN              NaN    5.1084079E-02
  2.2000E+01    1.4308235E+00    2.5067481E+00              NaN              NaN    5.1084079E-02
  2.3000E+01    1.4309038E+00    2.5068286E+00              NaN              NaN    5.1084079E-02
  2.4000E+01    1.4309874E+00    2.5069125E+00              NaN              NaN    5.1084079E-02
  2.5000E+01    1.4310743E+00    2.5069997E+00              NaN              NaN    5.1084079E-02
  2.6000E+01    1.4311646E+00    2.5070903E+00              NaN              NaN    5.1084079E-02
  2.7000E+01    1.4312582E+00    2.5071842E+00              NaN              NaN    5.1084079E-02
  2.8000E+01    1.4313550E+00    2.5072813E+00              NaN              NaN    5.1084079E-02
  2.9000E+01    1.4314551E+00    2.5073817E+00              NaN              NaN    5.1084079E-02
  3.0000E+01    1.4315584E+00    2.5074853E+00              NaN              NaN    5.1084079E-02
  3.1000E+01    1.4316649E+00    2.5075921E+00              NaN              NaN    5.1084079E-02
  3.2000E+01    1.4317745E+00    2.5077021E+00              NaN              NaN    5.1084079E-02
  3.3000E+01    1.4318872E+00    2.5078152E+00              NaN              NaN    5.1084079E-02
  3.4000E+01    1.4320030E+00    2.5079313E+00              NaN              NaN    5.1084079E-02
  3.5000E+01    1.4321219E+00    2.5080505E+00              NaN              NaN    5.1084079E-02
  3.6000E+01    1.4322437E+00    2.5081728E+00              NaN              NaN    5.1084079E-02
  3.7000E+01    1.4323686E+00    2.5082980E+00              NaN              NaN    5.1084079E-02
  3.8000E+01    1.4324964E+00    2.5084261E+00              NaN              NaN    5.1084079E-02
  3.9000E+01    1.4326270E+00    2.5085571E+00              NaN              NaN    5.1084079E-02
  4.0000E+01    1.4327606E+00    2.5086910E+00              NaN              NaN    5.1084079E-02
  4.1000E+01    1.4328969E+00    2.5088278E+00              NaN              NaN    5.1084079E-02
  4.2000E+01    1.4330361E+00    2.5089673E+00              NaN              NaN    5.1084079E-02
  4.3000E+01    1.4331779E+00    2.5091095E+00              NaN              NaN    5.1084079E-02
  4.4000E+01    1.4333225E+00    2.5092545E+00              NaN              NaN    5.1084079E-02
  4.5000E+01    1.4334697E+00    2.5094021E+00              NaN              NaN    5.1084079E-02
  4.6000E+01    1.4336195E+00    2.5095523E+00              NaN              NaN    5.1084079E-02
  4.7000E+01    1.4337719E+00    2.5097050E+00              NaN              NaN    5.1084079E-02
  4.8000E+01    1.4339268E+00    2.5098603E+00              NaN              NaN    5.1084079E-02
  4.9000E+01    1.4340842E+00    2.5100181E+00              NaN              NaN    5.1084079E-02
  5.0000E+01    1.4342440E+00    2.5101782E+00              NaN              NaN    5.1084079E-02
  5.1000E+01    1.4344062E+00    2.5103408E+00              NaN              NaN    5.1084079E-02
  5.2000E+01    1.4345707E+00    2.5105056E+00              NaN              NaN    5.1084079E-02
  5.3000E+01    1.4347374E+00    2.5106728E+00              NaN              NaN    5.1084079E-02
  5.4000E+01    1.4349064E+00    2.5108422E+00              NaN              NaN    5.1084079E-02
  5.5000E+01    1.4350776E+00    2.5110137E+00              NaN              NaN    5.1084079E-02
  5.6000E+01    1.4352509E+00    2.5111874E+00              NaN              NaN    5.1084079E-02
  5.7000E+01    1.4354263E+00    2.5113631E+00              NaN              NaN    5.1084079E-02
  5.8000E+01    1.4356037E+00    2.5115409E+00              NaN              NaN    5.1084079E-02
  5.9000E+01    1.4357831E+00    2.5117206E+00              NaN              NaN    5.1084079E-02
  6.0000E+01    1.4359644E+00    2.5119022E+00              NaN              NaN    5.1084079E-02
  6.1000E+01    1.4361475E+00    2.5120857E+00              NaN              NaN    5.1084079E-02
  6.2000E+01    1.4363325E+00    2.5122709E+00              NaN              NaN    5.1084079E-02
