  0.0000E+00    8.8649417E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  1.0000E+00    8.8650725E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  2.0000E+00    8.8654716E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  3.0000E+00    8.8661597E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  4.0000E+00    8.8671697E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  5.0000E+00    8.8685464E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  6.0000E+00    8.8703444E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  7.0000E+00    8.8726267E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  8.0000E+00    8.8754618E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  9.0000E+00    8.8789225E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  1.0000E+01    8.8830832E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  1.1000E+01    8.8880181E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  1.2000E+01    8.8937995E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  1.3000E+01    8.9004960E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  1.4000E+01    8.9081721E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  1.5000E+01    8.9168863E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  1.6000E+01    8.9266915E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  1.7000E+01    8.9376341E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  1.8000E+01    8.9497544E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  1.9000E+01    8.9630866E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  2.0000E+01    8.9776592E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  2.1000E+01    8.9934955E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  2.2000E+01    9.0106141E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  2.3000E+01    9.0290294E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  2.4000E+01    9.0487521E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  2.5000E+01    9.0697901E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  2.6000E+01    9.0921485E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  2.7000E+01    9.1158304E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  2.8000E+01    9.1408373E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  2.9000E+01    9.1671692E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  3.0000E+01    9.1948252E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  3.1000E+01    9.2238037E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  3.2000E+01    9.2541026E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  3.3000E+01    9.2857191E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  3.4000E+01    9.3186508E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  3.5000E+01    9.3528946E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
  3.6000E+01    9.3884479E-01    1.1081479+150              NaN    6.4587590+150    2.6487825E+00
